disasterNumber,declarationDate,disasterType,incidentType,title,region,state,hmgpCloseoutStatus,hmgpReconciliationDate,hmgpPopEndDate,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedRecipientAdmin,obligatedSubrecipientAdmin,obligatedRecipientMgmtAmt,pendingProjectsQuantity,formattedDate,formattedyear
5190,2017-07-14 00:00:00+00:00,FM,Fire,COLD SPRINGS FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2017,2017
5191,2017-07-17 00:00:00+00:00,FM,Fire,OIL WELL FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2017,2017
4826,2024-09-26 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",1,Vermont,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,September 2024,2024
5292,2019-08-30 00:00:00+00:00,FM,Fire,GUN RANGE FIRE,8,Utah,Open,,,491045.0,0.0,0.0,430893.0,0.0,0.0,60152.0,0.0,August 2019,2019
4336,2017-09-10 00:00:00+00:00,DR,Hurricane,HURRICANE IRMA,2,Puerto Rico,Open,,,4175664.16,0.0,0.0,3785625.16,0.0,0.0,157948.0,0.0,September 2017,2017
5193,2017-07-25 00:00:00+00:00,FM,Fire,PREACHER FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2017,2017
1999,2011-07-01 00:00:00+00:00,DR,Fire,WILDFIRES,6,Texas,Closed,2021-06-10T00:00:00.000Z,,11629211.82,549082.09,682018.4,9675095.21,0.0,0.0,723016.12,0.0,July 2011,2011
5158,2016-11-08 00:00:00+00:00,FM,Fire,EAGLES NEST FIRE,4,Kentucky,Open,,,112088.0,56667.0,0.0,0.0,0.0,0.0,55421.0,0.0,November 2016,2016
5289,2019-08-21 00:00:00+00:00,FM,Fire,CANYON FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2019,2019
5291,2019-08-24 00:00:00+00:00,FM,Fire,LONG VALLEY FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2019,2019
4305,2017-03-16 00:00:00+00:00,DR,Flood,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",9,California,Open,,,7339028.45,0.0,533570.62,6309765.83,0.0,0.0,495692.0,0.0,March 2017,2017
5154,2016-10-02 00:00:00+00:00,FM,Fire,FRONTAGE FIRE,9,Nevada,Open,,,907691.24,43759.98,236639.51,461028.75,0.0,0.0,166263.0,0.0,October 2016,2016
5517,2024-07-23 00:00:00+00:00,FM,Fire,WEST WHITE SWAN FIRE,10,Washington,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2024,2024
1791,2008-09-13 00:00:00+00:00,DR,Hurricane,HURRICANE IKE,6,Texas,Closed,2023-09-20T00:00:00.000Z,,383916059.77,9217926.41,2252387.47,358699134.55,0.0,0.0,13746611.34,0.0,September 2008,2008
1792,2008-09-13 00:00:00+00:00,DR,Hurricane,HURRICANE IKE,6,Louisiana,Open,,,45496486.5,3998622.0,0.0,38856567.5,0.0,0.0,2641297.0,0.0,September 2008,2008
4377,2018-07-06 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,6,Texas,Open,,,3081940.59,193042.59,74596.65,2072720.11,0.0,0.0,592385.0,15.0,July 2018,2018
4026,2011-09-03 00:00:00+00:00,DR,Hurricane,TROPICAL STORM IRENE,1,New Hampshire,Closed,2017-07-25T00:00:00.000Z,,1798709.0,0.0,0.0,1697551.0,0.0,0.0,101158.0,0.0,September 2011,2011
4388,2018-08-30 00:00:00+00:00,DR,Flood,FLOODING,8,Montana,Open,,,53783.5,0.0,0.0,46492.22,0.0,0.0,7291.28,0.0,August 2018,2018
4749,2023-11-20 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,5,Illinois,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,November 2023,2023
4405,2018-10-31 00:00:00+00:00,DR,Flood,FLOODING,8,Montana,Open,,,6957.72,0.0,0.0,6590.42,0.0,0.0,367.3,0.0,October 2018,2018
4756,2024-01-30 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3,West Virginia,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,January 2024,2024
4787,2024-05-24 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3,West Virginia,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,May 2024,2024
5486,2023-08-30 00:00:00+00:00,FM,Fire,HIGHWAY 113 FIRE,6,Louisiana,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2023,2023
1605,2005-08-29 00:00:00+00:00,DR,Hurricane,HURRICANE KATRINA,4,Alabama,Closed,2023-11-14T00:00:00.000Z,2016-02-25T00:00:00.000Z,59190787.04,6956760.0,2662126.0,45746837.08,317919.99,1018274.97,2488869.0,0.0,August 2005,2005
5493,2024-05-29 00:00:00+00:00,FM,Fire,SIMMONS FIRE,9,Arizona,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,May 2024,2024
5155,2016-10-04 00:00:00+00:00,FM,Fire,BEULAH HILL FIRE ,8,Colorado,Closed,2023-07-31T00:00:00.000Z,,316730.66,30000.0,141248.6,108936.77,0.0,0.0,36545.29,0.0,October 2016,2016
4724,2023-08-10 00:00:00+00:00,DR,Fire,WILDFIRES AND HIGH WINDS,9,Hawaii,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,August 2023,2023
